purpose,name,login,userDocument,email,password,passwordConfirm,leas,departments,teams
add,emil1,emil1,10000001,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil2,emil2,10000002,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil3,emil3,10000003,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil4,emil4,10000004,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil5,emil5,10000005,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil6,emil6,10000006,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil7,emil7,10000007,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil8,emil8,10000008,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil9,emil9,10000009,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil10,emil10,10000010,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil11,emil11,10000011,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil12,emil12,10000012,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil13,emil13,10000013,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil14,emil14,10000014,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil15,emil15,10000015,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil16,emil16,10000016,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil17,emil17,10000017,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil18,emil18,10000018,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil19,emil19,10000019,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil20,emil20,10000020,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil21,emil21,10000021,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil22,emil22,10000022,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil23,emil23,10000023,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil24,emil24,10000024,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil25,emil25,10000025,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil26,emil26,10000026,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil27,emil27,10000027,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil28,emil28,10000028,emil1@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
add,emil29,emil29,10000029,emil2@cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
