purpose,name,login,userDocument,email,password,passwordConfirm,leas,departments,teams
remove,emil,emil,10000006,emil@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil1,emil1,10000007,emil1@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil2,emil2,10000008,emil2@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil3,emil3,10000009,emil3@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil4,emil4,10000010,emil4@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil5,emil5,10000011,emil5@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil6,emil6,10000012,emil6@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil7,emil7,10000013,emil7@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil8,emil8,10000014,emil8@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil9,emil9,10000015,emil9@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil10,emil10,10000016,emil10@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil11,emil11,10000017,emil11@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil12,emil12,10000018,emil12@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil13,emil13,10000019,emil13@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil14,emil14,10000020,emil14@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil15,emil15,10000021,emil15@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil16,emil16,10000022,emil16@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil17,emil17,10000023,emil17@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil18,emil18,10000024,emil18@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil19,emil19,10000025,emil19@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil20,emil20,10000026,emil20@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil21,emil21,10000027,emil21@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil22,emil22,10000028,emil22@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil23,emil23,10000029,emil23@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil24,emil24,10000030,emil24@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil25,emil25,10000031,emil25@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil26,emil26,10000032,emil26@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil27,emil27,10000033,emil27@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil28,emil28,10000034,emil28@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil29,emil29,10000035,emil29@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil30,emil30,10000036,emil30@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil31,emil31,10000037,emil31@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil32,emil32,10000038,emil32@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil33,emil33,10000039,emil33@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil34,emil34,10000040,emil34@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil35,emil35,10000041,emil35@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil36,emil36,10000042,emil36@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil37,emil37,10000043,emil37@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil38,emil38,10000044,emil38@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil39,emil39,10000045,emil39@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil40,emil40,10000046,emil40@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil41,emil41,10000047,emil41@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil42,emil42,10000048,emil42@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil43,emil43,10000049,emil43@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil44,emil44,10000050,emil44@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil45,emil45,10000051,emil45@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil46,emil46,10000052,emil46@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil47,emil47,10000053,emil47@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil48,emil48,10000054,emil48@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
remove,emil49,emil49,10000055,emil49@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
