purpose,name,login,userDocument,email,password,passwordConfirm,leas,departments,teams
add,emil1,emil1,10000007,emil1@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil2,emil2,10000008,emil2@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil3,emil3,10000009,emil3@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil4,emil4,10000010,emil4@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil5,emil5,10000011,emil5@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil6,emil6,10000012,emil6@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil7,emil7,10000013,emil7@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil8,emil8,10000014,emil8@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil9,emil9,10000015,emil9@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil10,emil10,10000016,emil10@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil11,emil11,10000017,emil11@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil12,emil12,10000018,emil12@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil13,emil13,10000019,emil13@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil14,emil14,10000020,emil14@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil15,emil15,10000021,emil15@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil16,emil16,10000022,emil16@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil17,emil17,10000023,emil17@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil18,emil18,10000024,emil18@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil19,emil19,10000025,emil19@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
add,emil20,emil20,10000026,emil20@cognyte.com,12345678,12345678,"[{""id"":1},{""id"":10}]",1;41,1;41
