purpose,name,login,userDocument,email,password,passwordConfirm,leas,departments,teams
remove,LucasV1,LucasV1,10000001,LucasV1cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV2,LucasV2,10000002,LucasV2cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV3,LucasV3,10000003,LucasV3cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV4,LucasV4,10000004,LucasV4cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV5,LucasV5,10000005,LucasV5cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV6,LucasV6,10000006,LucasV6cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV7,LucasV7,10000007,LucasV7cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV8,LucasV8,10000008,LucasV8cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV9,LucasV9,10000009,LucasV9cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV10,LucasV10,10000010,LucasV10cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV11,LucasV11,10000011,LucasV11cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV12,LucasV12,10000012,LucasV12cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV13,LucasV13,10000013,LucasV13cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV14,LucasV14,10000014,LucasV14cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV15,LucasV15,10000015,LucasV15cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV16,LucasV16,10000016,LucasV16cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV17,LucasV17,10000017,LucasV17cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV18,LucasV18,10000018,LucasV18cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV19,LucasV19,10000019,LucasV19cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV20,LucasV20,10000020,LucasV20cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV21,LucasV21,10000021,LucasV21cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV22,LucasV22,10000022,LucasV22cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV23,LucasV23,10000023,LucasV23cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV24,LucasV24,10000024,LucasV24cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV25,LucasV25,10000025,LucasV25cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV26,LucasV26,10000026,LucasV26cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV27,LucasV27,10000027,LucasV27cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV28,LucasV28,10000028,LucasV28cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV29,LucasV29,10000029,LucasV29cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV30,LucasV30,10000030,LucasV30cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV31,LucasV31,10000031,LucasV31cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV32,LucasV32,10000032,LucasV32cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV33,LucasV33,10000033,LucasV33cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV34,LucasV34,10000034,LucasV34cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV35,LucasV35,10000035,LucasV35cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV36,LucasV36,10000036,LucasV36cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV37,LucasV37,10000037,LucasV37cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV38,LucasV38,10000038,LucasV38cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV39,LucasV39,10000039,LucasV39cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV40,LucasV40,10000040,LucasV40cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV41,LucasV41,10000041,LucasV41cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV42,LucasV42,10000042,LucasV42cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV43,LucasV43,10000043,LucasV43cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV44,LucasV44,10000044,LucasV44cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV45,LucasV45,10000045,LucasV45cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV46,LucasV46,10000046,LucasV46cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV47,LucasV47,10000047,LucasV47cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV48,LucasV48,10000048,LucasV48cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV49,LucasV49,10000049,LucasV49cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV50,LucasV50,10000050,LucasV50cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV51,LucasV51,10000051,LucasV51cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV52,LucasV52,10000052,LucasV52cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV53,LucasV53,10000053,LucasV53cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV54,LucasV54,10000054,LucasV54cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV55,LucasV55,10000055,LucasV55cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV56,LucasV56,10000056,LucasV56cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV57,LucasV57,10000057,LucasV57cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV58,LucasV58,10000058,LucasV58cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV59,LucasV59,10000059,LucasV59cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV60,LucasV60,10000060,LucasV60cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV61,LucasV61,10000061,LucasV61cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV62,LucasV62,10000062,LucasV62cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV63,LucasV63,10000063,LucasV63cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV64,LucasV64,10000064,LucasV64cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
remove,LucasV65,LucasV65,10000065,LucasV65cognyte.com,12345678,12345678,"[{""id"":1}]",1,1
